university,city,country,coursename,coursedescription,startdate,enddate,price,currency,timestamp
University of Southeastern Philippines,Balete,Philippines,VP Sales,Assimilated maximized intranet,2017-10-08,2018-01-19,8373.95,PHP,2024-08-02 21:09:34.366232
State Pedagogical University in Kryvyi Rih,Vary,Ukraine,Librarian,Persevering 24/7 neural-net,2016-06-14,2016-09-25,7048.44,UAH,2024-08-02 21:09:34.366232
Dalian University,Chashan,China,Nuclear Power Engineer,Open-source user-facing intranet,2017-03-09,2017-08-06,7670.24,CNY,2024-08-02 21:09:34.366232
Instituto Superior de Relações Internacionais (ISRI),António Enes,Mozambique,Speech Pathologist,Cross-group multimedia artificial intelligence,2018-06-25,2018-11-24,3656.94,MZN,2024-08-02 21:09:34.366232
Universidade São Francisco,Juatuba,Brazil,Web Developer II,Face to face 6th generation leverage,2018-03-13,2018-03-27,2645.98,BRL,2024-08-02 21:09:34.366232
Institut Teknologi Bandung,Sumberejo,Indonesia,Legal Assistant,Triple-buffered high-level budgetary management,2019-02-17,2019-07-20,1662.58,IDR,2024-08-02 21:09:34.366232
Universidad de Huánuco,Chalamarca,Peru,Clinical Specialist,Face to face regional definition,2016-09-21,2017-01-11,8627.17,PEN,2024-08-02 21:09:34.366232
Universitas Diponegoro,Kembangkerang Lauk Timur,Indonesia,Account Representative I,Proactive asymmetric installation,2018-11-12,2019-02-12,535.41,IDR,2024-08-02 21:09:34.366232
Université de Yaoundé I,Kribi,Cameroon,Nurse Practicioner,Implemented didactic process improvement,2019-08-13,2020-01-05,6812.89,XAF,2024-08-02 21:09:34.366232
Universidad Nacional de Villa María,Embarcación,Argentina,Software Engineer IV,Managed methodical attitude,2018-04-25,2018-05-02,9551.86,ARS,2024-08-02 21:09:34.366232
Zhengzhou Grain University,Sankeyushu,China,Programmer Analyst II,Seamless tertiary orchestration,2019-07-13,2019-12-31,2409.1,CNY,2024-08-02 21:09:34.366232
"University College of Arts, Crafts and Design",Stockholm,Sweden,Marketing Manager,Intuitive mission-critical firmware,2019-08-18,2019-12-18,2532.28,SEK,2024-08-02 21:09:34.366232
Ateneo de Zamboanga University,Tabuk,Philippines,Design Engineer,Streamlined optimal model,2018-03-11,2018-03-30,9152.19,PHP,2024-08-02 21:09:34.366232
Kyoto Institute of Technology,Fujikawaguchiko,Japan,GIS Technical Architect,Streamlined logistical hierarchy,2016-08-19,2016-11-06,3536.31,JPY,2024-08-02 21:09:34.366232
Nangarhar University,Āsmār,Afghanistan,Food Chemist,Seamless stable interface,2017-10-24,2018-05-09,6026.63,AFN,2024-08-02 21:09:34.366232
Dalarna University College,Trelleborg,Sweden,Food Chemist,Reverse-engineered background info-mediaries,2016-04-23,2016-05-04,3564.11,SEK,2024-08-02 21:09:34.366232
Instituto Politécnico de Bragança,Olho Marinho,Portugal,VP Quality Control,Seamless 4th generation concept,2016-04-27,2016-09-20,6636.51,EUR,2024-08-02 21:09:34.366232
Universitas Bengkulu,Wanasari Baleran,Indonesia,Mechanical Systems Engineer,Object-based transitional leverage,2017-04-06,2017-05-01,3497.51,IDR,2024-08-02 21:09:34.366232
"University College of Arts, Crafts and Design",Rättvik,Sweden,Compensation Analyst,Business-focused system-worthy adapter,2017-12-30,2018-07-17,1670.6,SEK,2024-08-02 21:09:34.366232
Moscow State University M.V. Lomonosov,Novogireyevo,Russia,Graphic Designer,Synergistic client-driven archive,2018-03-03,2018-03-06,9454.14,RUB,2024-08-02 21:09:34.366232
Universitas Pakuan,Panguruan,Indonesia,Electrical Engineer,Multi-layered reciprocal artificial intelligence,2017-04-19,2017-07-16,792.98,IDR,2024-08-02 21:09:34.366232
Institut Supérieur Agricole de Beauvais,Vitrolles,France,Registered Nurse,Fundamental radical customer loyalty,2016-04-23,2016-11-08,5983.84,EUR,2024-08-02 21:09:34.366232
Universidad Andina Nestor Caceares Velasquez,Magdalena,Peru,Financial Advisor,User-friendly motivating success,2016-03-04,2016-03-22,1038.28,PEN,2024-08-02 21:09:34.366232
"Institute of Teachers Education, Sultan Mizan",Kuala Lumpur,Malaysia,Librarian,Sharable asymmetric productivity,2016-12-08,2017-04-17,8598.31,MYR,2024-08-02 21:09:34.366232
Aquinas University,Doljo,Philippines,Budget/Accounting Analyst III,Pre-emptive interactive methodology,2019-06-01,2019-07-11,8455.56,PHP,2024-08-02 21:09:34.366232
Shaanxi Normal University,Xigangzi,China,Business Systems Development Analyst,Operative zero administration projection,2019-02-08,2019-08-16,9985.33,CNY,2024-08-02 21:09:34.366232
Université d'Orléans,Saint-Jean-de-Luz,France,Accountant I,Horizontal well-modulated time-frame,2018-07-13,2018-12-11,5210.03,EUR,2024-08-02 21:09:34.366232
Intercollege,Ágios Týchon,Cyprus,Analog Circuit Design manager,Synergistic uniform software,2016-11-17,2016-12-02,5122.24,EUR,2024-08-02 21:09:34.366232
Universidade Fernando Pessoa,Couto,Portugal,Graphic Designer,Cloned reciprocal architecture,2018-11-10,2018-12-27,1340.67,EUR,2024-08-02 21:09:34.366232
Angeles University,Pambuhan,Philippines,Human Resources Manager,Self-enabling even-keeled productivity,2019-01-03,2019-05-25,5833.59,PHP,2024-08-02 21:09:34.366232
University of Southern Mindanao,Tibigan,Philippines,Teacher,Automated local software,2018-09-29,2019-04-15,6805.8,PHP,2024-08-02 21:09:34.366232
Instituto Superior de Informática e Gestão,Baraçais,Portugal,Executive Secretary,Reverse-engineered system-worthy neural-net,2017-07-19,2017-10-04,6195.83,EUR,2024-08-02 21:09:34.366232
Agricultural-Technical Academy in Olsztyn,Kobiernice,Poland,Financial Analyst,Fully-configurable object-oriented project,2018-12-25,2019-04-26,5862.69,PLN,2024-08-02 21:09:34.366232
Örebro University,Strömsund,Sweden,Programmer IV,Decentralized 24/7 functionalities,2019-05-13,2019-11-04,4954.94,SEK,2024-08-02 21:09:34.366232
National University,Morrelgonj,Bangladesh,Administrative Officer,Balanced systemic archive,2018-05-24,2018-07-24,3742.59,BDT,2024-08-02 21:09:34.366232
Jiangxi Normal University,Longxi,China,Executive Secretary,Reduced discrete extranet,2019-04-04,2019-09-09,3214.13,CNY,2024-08-02 21:09:34.366232
Epoka University,Hasan,Albania,Senior Quality Engineer,Optimized mission-critical synergy,2018-11-06,2019-02-05,2982.73,ALL,2024-08-02 21:09:34.366232
University of Pardubice,Velká Bíteš,Czech Republic,Assistant Professor,Multi-tiered eco-centric internet solution,2018-08-26,2019-02-27,3744.58,CZK,2024-08-02 21:09:34.366232
West Pomeranian Business School in Szczecin,Walce,Poland,Analyst Programmer,Focused bifurcated framework,2016-04-05,2016-10-06,6575.1,PLN,2024-08-02 21:09:34.366232
Ecole pour les Etudes et la Recherche en Informatique et Electronique,Saint-Dizier,France,Human Resources Manager,Monitored zero defect portal,2019-02-09,2019-04-05,8002.33,EUR,2024-08-02 21:09:34.366232
Chaopraya University,Saba Yoi,Thailand,Staff Accountant II,Grass-roots solution-oriented concept,2019-06-05,2019-10-14,1739.03,THB,2024-08-02 21:09:34.366232
Evangelische Fachhochschule Darmstadt,Solingen,Germany,Senior Editor,Front-line asynchronous protocol,2018-05-29,2018-07-03,3182.58,EUR,2024-08-02 21:09:34.366232
Ecole pour les Etudes et la Recherche en Informatique et Electronique,Tours,France,Nurse Practicioner,Mandatory systematic customer loyalty,2019-07-15,2019-11-04,4346.4,EUR,2024-08-02 21:09:34.366232
Beijing University of Chemical Technology,Jiangpu,China,Marketing Assistant,Operative analyzing project,2016-10-19,2017-05-13,8026.21,CNY,2024-08-02 21:09:34.366232
Tula State University,Novoaleksandrovsk,Russia,Senior Editor,Quality-focused incremental focus group,2019-09-19,2019-11-13,8038.26,RUB,2024-08-02 21:09:34.366232
Melaka City Polytechnic,Kota Bharu,Malaysia,Recruiting Manager,User-friendly asynchronous portal,2017-07-10,2017-09-25,2467.33,MYR,2024-08-02 21:09:34.366232
Universidad José Cecilio del Valle,Támara,Honduras,Health Coach IV,Configurable bandwidth-monitored focus group,2017-04-09,2017-10-19,6456.94,HNL,2024-08-02 21:09:34.366232
Halmstad University College,Stockholm,Sweden,VP Accounting,Proactive holistic extranet,2016-06-06,2016-06-21,7713.15,SEK,2024-08-02 21:09:34.366232
Southwestern University,Vizal San Pablo,Philippines,Desktop Support Technician,Business-focused real-time solution,2019-07-23,2019-11-23,566.87,PHP,2024-08-02 21:09:34.366232
Aikoku Gakuen University,Miura,Japan,Web Designer I,Assimilated multi-state forecast,2016-03-02,2016-03-17,1776.29,JPY,2024-08-02 21:09:34.366232
Irkutsk State University,Tirlyanskiy,Russia,Community Outreach Specialist,Right-sized executive application,2017-12-27,2018-01-06,6914.13,RUB,2024-08-02 21:09:34.366232
Adventist University of the Philippines,Arcangel,Philippines,Recruiter,Automated directional website,2018-04-20,2018-05-12,4592.3,PHP,2024-08-02 21:09:34.366232
State Pedagogical University in Kryvyi Rih,Vodyane,Ukraine,Civil Engineer,Monitored attitude-oriented function,2016-10-12,2016-12-22,9119.73,UAH,2024-08-02 21:09:34.366232
Dublin Institute of Technology,Dunlewy,Ireland,Analog Circuit Design manager,Fully-configurable maximized neural-net,2018-07-24,2018-10-30,7377.54,EUR,2024-08-02 21:09:34.366232
Xinjiang University,Guotan,China,Technical Writer,Profound responsive service-desk,2017-09-09,2018-01-21,1473.64,CNY,2024-08-02 21:09:34.366232
Universitas Islam Sultan Agung,Bebedahan,Indonesia,Assistant Media Planner,Business-focused leading edge productivity,2018-10-12,2019-01-18,5028.39,IDR,2024-08-02 21:09:34.366232
Universidade do Rio de Janeiro,Pindaré Mirim,Brazil,Structural Analysis Engineer,Horizontal mission-critical time-frame,2018-09-23,2018-12-07,6674.8,BRL,2024-08-02 21:09:34.366232
Universitas Negeri Gorontalo,Cilolohan,Indonesia,VP Marketing,Down-sized analyzing function,2019-10-08,2019-11-15,2519.39,IDR,2024-08-02 21:09:34.366232
Ukrainian National Forestry University,Uman’,Ukraine,Nurse Practicioner,Organic well-modulated internet solution,2018-07-21,2019-02-12,8631.95,UAH,2024-08-02 21:09:34.366232
Universidade Católica de Moçambique,Beira,Mozambique,Graphic Designer,Intuitive didactic superstructure,2018-04-15,2018-04-21,3324.22,MZN,2024-08-02 21:09:34.366232
Universidad Nacional de Asunción,Colonia Minga Porá,Paraguay,Occupational Therapist,Balanced modular infrastructure,2018-02-14,2018-08-20,2216.77,PYG,2024-08-02 21:09:34.366232
Universidad de la Cuenca del Plata,Pergamino,Argentina,Engineer III,Managed logistical support,2019-07-25,2020-02-29,6260.39,ARS,2024-08-02 21:09:34.366232
Ivano-Frankivsk National University of Oli and Gas,Mahdalynivka,Ukraine,Chemical Engineer,Reverse-engineered content-based time-frame,2019-09-18,2020-04-06,2180.88,UAH,2024-08-02 21:09:34.366232
Nanjing University,Xiaojie,China,Account Representative IV,Realigned maximized approach,2018-02-04,2018-06-03,8298.5,CNY,2024-08-02 21:09:34.366232
Athens Graduate School of Management (AGSM),Símantra,Greece,VP Product Management,Reduced homogeneous alliance,2017-03-22,2017-05-15,8252.43,EUR,2024-08-02 21:09:34.366232
University of Aleppo,Al Ghizlānīyah,Syria,Database Administrator I,Profit-focused directional open architecture,2017-01-04,2017-05-03,8639.5,SYP,2024-08-02 21:09:34.366232
International Business School Kelajak ILMI,Manghit,Uzbekistan,Structural Engineer,Public-key leading edge extranet,2017-12-18,2018-05-12,1551.63,UZS,2024-08-02 21:09:34.366232
AGH University of Science and Technology,Rędziny,Poland,Food Chemist,Right-sized directional algorithm,2018-06-04,2018-09-28,8583.64,PLN,2024-08-02 21:09:34.366232
St.Kliment Ohridski University,Sredno Konjare,Macedonia,Editor,Ergonomic value-added groupware,2017-01-08,2017-02-12,8023.3,MKD,2024-08-02 21:09:34.366232
Universidade Gama Filho,São Miguel do Guamá,Brazil,Actuary,Seamless zero administration knowledge user,2019-05-15,2019-09-03,2804.05,BRL,2024-08-02 21:09:34.366232
Universitas Negeri Semarang,Banjar Taro Kelod,Indonesia,Technical Writer,Reduced context-sensitive internet solution,2017-11-17,2018-01-30,9512.51,IDR,2024-08-02 21:09:34.366232
Universitas Islam Sultan Agung,Praimarada,Indonesia,Business Systems Development Analyst,Diverse user-facing internet solution,2017-03-06,2017-07-15,3878.89,IDR,2024-08-02 21:09:34.366232
Xi'an Academy of Fine Art,Heshang,China,Marketing Manager,Mandatory holistic local area network,2019-11-05,2020-02-06,361.95,CNY,2024-08-02 21:09:34.366232
Politeknik Negeri Jakarta,Seputih,Indonesia,Help Desk Operator,Integrated zero tolerance approach,2019-01-04,2019-06-07,5573.61,IDR,2024-08-02 21:09:34.366232
Inha University,Miryang,South Korea,Dental Hygienist,Expanded context-sensitive definition,2016-04-26,2016-07-30,3428.53,KRW,2024-08-02 21:09:34.366232
DePaul University,Cincinnati,United States,Office Assistant III,Upgradable scalable success,2017-07-20,2017-11-27,6251.97,USD,2024-08-02 21:09:34.366232
"Yorker International University, Athens",Neochóri,Greece,Environmental Specialist,Diverse bifurcated policy,2018-01-11,2018-07-22,2946.06,EUR,2024-08-02 21:09:34.366232
Makerere University,Kisoro,Uganda,Marketing Assistant,Visionary needs-based open architecture,2017-11-30,2018-07-05,2220.47,UGX,2024-08-02 21:09:34.366232
Université de Technologie de Troyes,Orléans,France,Senior Financial Analyst,Digitized impactful throughput,2018-05-09,2018-05-28,9312.15,EUR,2024-08-02 21:09:34.366232
Taizhou College,Zhuyeping,China,Staff Accountant III,Sharable 24 hour flexibility,2017-11-26,2018-04-12,5742.03,CNY,2024-08-02 21:09:34.366232
Jagiellonian University Cracow,Wólka Pełkińska,Poland,Help Desk Operator,Monitored maximized productivity,2017-05-31,2017-09-26,4691.24,PLN,2024-08-02 21:09:34.366232
University of San Agustin,Paniqui,Philippines,Sales Associate,Future-proofed even-keeled instruction set,2017-06-14,2017-10-25,2126.94,PHP,2024-08-02 21:09:34.366232
National Taras Shevchenko University of Kiev,Yasinya,Ukraine,Senior Editor,Triple-buffered empowering workforce,2016-07-09,2016-10-11,5270.58,UAH,2024-08-02 21:09:34.366232
Water Resources University,Huế,Vietnam,Analyst Programmer,Expanded static archive,2019-05-19,2019-07-16,745.9,VND,2024-08-02 21:09:34.366232
Beijing Petroleum University,Xingnong,China,Pharmacist,Compatible context-sensitive task-force,2019-08-15,2020-02-10,6498.23,CNY,2024-08-02 21:09:34.366232
State University of Aerospace Technologies,Shlissel’burg,Russia,Assistant Media Planner,Horizontal user-facing intranet,2016-05-04,2016-08-22,8133.5,RUB,2024-08-02 21:09:34.366232
Universitas Sultan Ageng Tirtayasa,Girsereng,Indonesia,Staff Accountant IV,Mandatory actuating capability,2017-06-05,2017-06-23,9883.45,IDR,2024-08-02 21:09:34.366232
Mykolo Romerio university,Lazdijai,Lithuania,Assistant Manager,Mandatory didactic encoding,2018-05-13,2018-10-22,412.07,LTL,2024-08-02 21:09:34.366232
Novgorod State University,Usman’,Russia,Paralegal,Diverse empowering capability,2018-11-16,2018-12-21,2611.21,RUB,2024-08-02 21:09:34.366232
Athens Laboratory of Business Administration (ALBA),Petroúpolis,Greece,Operator,Function-based empowering artificial intelligence,2019-11-12,2020-04-11,4133.27,EUR,2024-08-02 21:09:34.366232
The University of Nottingham Ningbo China,Douba,China,Associate Professor,Object-based national hardware,2017-11-20,2018-06-10,4564.21,CNY,2024-08-02 21:09:34.366232
Moscow University Touro,Votkinsk,Russia,Automation Specialist IV,Ameliorated context-sensitive adapter,2017-10-15,2018-04-06,5382.55,RUB,2024-08-02 21:09:34.366232
Université Catholique de Lyon,Reims,France,Quality Engineer,Reduced composite conglomeration,2019-09-29,2019-11-28,7131.5,EUR,2024-08-02 21:09:34.366232
Universität Köln,München,Germany,Media Manager I,Networked directional contingency,2019-05-25,2019-07-26,9616.95,EUR,2024-08-02 21:09:34.366232
Universitas Narotama,Karoya,Indonesia,Human Resources Assistant I,Synergized optimizing hub,2016-03-08,2016-09-24,419.14,IDR,2024-08-02 21:09:34.366232
Xiamen University,Juren,China,Associate Professor,Cloned even-keeled functionalities,2016-07-15,2016-12-17,6944.62,CNY,2024-08-02 21:09:34.366232
Konyang University,Daejeon,South Korea,Assistant Media Planner,Cross-platform intermediate application,2019-11-23,2020-03-28,7817.35,KRW,2024-08-02 21:09:34.366232
Universitas Nasional Pasim,Dowan,Indonesia,Programmer IV,Vision-oriented analyzing initiative,2019-02-01,2019-09-09,1657.55,IDR,2024-08-02 21:09:34.366232
Universitas Sarjanawiyata Tamansiswa,Ngori,Indonesia,Civil Engineer,Re-contextualized 24/7 algorithm,2018-05-12,2018-10-26,5343.45,IDR,2024-08-02 21:09:34.366232
Shenzhen University,Lianyuan,China,Geological Engineer,Public-key fault-tolerant data-warehouse,2016-05-23,2016-10-14,5039.99,CNY,2024-08-02 21:09:34.366232
Bulacan State University,Botao,Philippines,Cost Accountant,Monitored upward-trending process improvement,2018-01-19,2018-08-13,5540.75,PHP,2024-08-02 21:09:34.366232
Université de Fianarantsoa,Vondrozo,Madagascar,Actuary,Adaptive national complexity,2017-03-24,2017-08-30,5880.33,MGA,2024-08-02 21:09:34.366232
Universitas Tanjungpura,Gresik,Indonesia,Senior Editor,Fully-configurable radical contingency,2018-08-30,2018-10-31,6190.48,IDR,2024-08-02 21:09:34.366232
Universidade de Guarulhos,Oliveira,Brazil,Project Manager,Compatible maximized adapter,2016-11-20,2017-06-26,9669.1,BRL,2024-08-02 21:09:34.366232
Abai State University,Tekeli,Kazakhstan,Software Consultant,Re-contextualized needs-based website,2019-07-26,2020-02-24,1817.91,KZT,2024-08-02 21:09:34.366232
Universidade Federal de São Paulo,Cabedelo,Brazil,Nurse Practicioner,Ameliorated 24 hour conglomeration,2019-05-25,2019-12-20,140.93,BRL,2024-08-02 21:09:34.366232
Universidad de Holguín,Minas de Matahambre,Cuba,Account Coordinator,Ameliorated eco-centric attitude,2019-04-25,2019-11-12,4055.8,CUP,2024-08-02 21:09:34.366232
Yunnan University,Youlongchuan,China,Analog Circuit Design manager,Multi-lateral impactful concept,2019-06-06,2019-07-20,4668.42,CNY,2024-08-02 21:09:34.366232
Irkutsk State Academy of Economics,Khabarovsk,Russia,Developer IV,Universal bottom-line definition,2017-09-15,2017-11-17,4842.47,RUB,2024-08-02 21:09:34.366232
Lamphun College of Agriculture and Technology,That Phanom,Thailand,Office Assistant II,Future-proofed interactive Graphic Interface,2019-03-12,2019-04-19,6945.77,THB,2024-08-02 21:09:34.366232
Fujian Agricultural University,Nanlu,China,Electrical Engineer,Down-sized cohesive time-frame,2018-09-11,2019-01-30,1857.61,CNY,2024-08-02 21:09:34.366232
Saint Mary's University,Mangarine,Philippines,Staff Scientist,Profit-focused optimizing hub,2016-04-14,2016-08-13,5533.03,PHP,2024-08-02 21:09:34.366232
Huizhou University,Yingchun,China,Design Engineer,Balanced neutral open architecture,2016-09-10,2016-10-25,9455.87,CNY,2024-08-02 21:09:34.366232
Stockholm Institute of Education,Västerås,Sweden,Chemical Engineer,Intuitive reciprocal intranet,2016-09-30,2017-01-10,4594.2,SEK,2024-08-02 21:09:34.366232
Moscow State University of Culture,Samashki,Russia,Analog Circuit Design manager,Progressive optimizing data-warehouse,2017-02-23,2017-06-06,5876.26,RUB,2024-08-02 21:09:34.366232
Misr International University,Abū Tīj,Egypt,Social Worker,Distributed 24 hour methodology,2017-05-11,2017-12-14,7288.46,EGP,2024-08-02 21:09:34.366232
Sekolah Tinggi Akuntansi Negara (STAN),Sangiang,Indonesia,Physical Therapy Assistant,Polarised homogeneous architecture,2018-02-25,2018-08-26,7322.98,IDR,2024-08-02 21:09:34.366232
Universidade Federal do ABC,Rio Formoso,Brazil,Chief Design Engineer,Inverse contextually-based customer loyalty,2016-07-09,2016-10-01,2222.66,BRL,2024-08-02 21:09:34.366232
Universidad de Montemorelos,Guadalupe,Mexico,Food Chemist,Secured bifurcated productivity,2017-08-09,2017-10-23,4042.28,MXN,2024-08-02 21:09:34.366232
Leyte State University,Laylay,Philippines,Compensation Analyst,Vision-oriented intangible workforce,2019-05-28,2019-08-29,8487.22,PHP,2024-08-02 21:09:34.366232
Shanghai Second Medical University,Lümeng,China,Registered Nurse,Exclusive zero defect website,2017-07-14,2017-10-24,8266.27,CNY,2024-08-02 21:09:34.366232
Nanjing University of Traditional Chinese Medicine,Liugong,China,Financial Analyst,Integrated system-worthy capability,2018-11-06,2019-05-11,8045.44,CNY,2024-08-02 21:09:34.366232
Universidade Metodista de Angola,Lobito,Angola,Structural Analysis Engineer,Virtual explicit benchmark,2018-11-22,2019-03-30,3324.75,AOA,2024-08-02 21:09:34.366232
Institute of Business Administration Sukkur,Minchinābād,Pakistan,VP Quality Control,Realigned executive frame,2017-01-14,2017-07-18,5387.16,PKR,2024-08-02 21:09:34.366232
Polonia University in Czêstochowa,Janikowo,Poland,Food Chemist,Proactive holistic success,2017-02-11,2017-08-08,778.2,PLN,2024-08-02 21:09:34.366232
Universitas Tarumanagara,Alanga,Indonesia,Registered Nurse,Focused object-oriented solution,2017-01-28,2017-06-19,5359.67,IDR,2024-08-02 21:09:34.366232
Jilin Agricultural University,Baiju,China,Senior Developer,Multi-lateral exuding emulation,2019-04-30,2019-05-20,6405.6,CNY,2024-08-02 21:09:34.366232
Jishou University,Yijiang,China,Recruiting Manager,Re-engineered attitude-oriented adapter,2018-07-28,2018-08-13,3155.02,CNY,2024-08-02 21:09:34.366232
Université d'Abobo-Adjamé,San-Pédro,Ivory Coast,VP Sales,Synergistic human-resource groupware,2018-02-02,2018-08-19,7668.9,XOF,2024-08-02 21:09:34.366232
Sichuan Agricultural University,Daliu,China,Senior Quality Engineer,Profit-focused secondary Graphical User Interface,2017-06-25,2017-09-19,7633.83,CNY,2024-08-02 21:09:34.366232
Dnepropetrovsk National University of Railway Transport,Simeykyne,Ukraine,Mechanical Systems Engineer,Synergistic optimizing forecast,2019-12-03,2019-12-14,3220.66,UAH,2024-08-02 21:09:34.366232
University of Kurdistan - Hawler,Khāliş,Iraq,Health Coach I,Cloned empowering neural-net,2017-10-31,2018-05-26,6947.21,IQD,2024-08-02 21:09:34.366232
Politeknik Negeri Semarang,Sokobanteng,Indonesia,Information Systems Manager,Adaptive disintermediate challenge,2019-07-30,2019-09-08,1705.44,IDR,2024-08-02 21:09:34.366232
Universitas Muhammadiyah Yogyakarta,Kujung,Indonesia,Engineer I,Implemented asynchronous challenge,2018-04-19,2018-04-26,2587.51,IDR,2024-08-02 21:09:34.366232
Harbin Institute of Technology,Laohugang,China,Assistant Manager,Streamlined modular knowledge user,2016-08-21,2017-03-02,8384.42,CNY,2024-08-02 21:09:34.366232
Instituto Superior de Tecnologias Avançadas - ISTEC,Fátima,Portugal,Data Coordinator,Self-enabling real-time pricing structure,2016-06-08,2016-12-23,5504.46,EUR,2024-08-02 21:09:34.366232
West Visayas State University,Santa Ana,Philippines,Senior Editor,Sharable analyzing policy,2016-04-23,2016-08-23,4001.0,PHP,2024-08-02 21:09:34.366232
Zhengda Software College,Sigou,China,VP Product Management,Robust global customer loyalty,2018-04-08,2018-07-17,6445.86,CNY,2024-08-02 21:09:34.366232
Faculdade Italo Brasileira,Guaíba,Brazil,GIS Technical Architect,Optimized bottom-line toolset,2016-12-07,2017-04-16,5225.22,BRL,2024-08-02 21:09:34.366232
University of Livingstonia,Nkhotakota,Malawi,Legal Assistant,Multi-channelled local info-mediaries,2018-12-17,2019-03-11,2146.25,MWK,2024-08-02 21:09:34.366232
Universitas Nusa Cendana,Ciparay,Indonesia,Nuclear Power Engineer,Team-oriented motivating success,2018-05-12,2018-10-11,2928.69,IDR,2024-08-02 21:09:34.366232
Dublin Institute of Technology,Loughrea,Ireland,Information Systems Manager,Synchronised leading edge encoding,2016-06-24,2016-09-17,3611.06,EUR,2024-08-02 21:09:34.366232
Yunnan Agriculture University,Jintao,China,Librarian,Secured cohesive alliance,2018-05-23,2018-11-29,527.68,CNY,2024-08-02 21:09:34.366232
Chonju National University of Education,Gaigeturi,South Korea,Office Assistant IV,Synergized high-level monitoring,2019-09-08,2019-10-31,2087.68,KRW,2024-08-02 21:09:34.366232
Epoka University,Progër,Albania,Help Desk Technician,Automated 4th generation pricing structure,2017-09-01,2018-01-08,2100.62,ALL,2024-08-02 21:09:34.366232
University of Eastern Philippines,Sionogan,Philippines,Systems Administrator IV,Reverse-engineered system-worthy monitoring,2017-12-14,2018-07-08,8824.04,PHP,2024-08-02 21:09:34.366232
Universidad Nacional de la Patagonia Austral,Fraile Pintado,Argentina,Sales Representative,Profit-focused contextually-based installation,2017-11-12,2018-01-14,2398.38,ARS,2024-08-02 21:09:34.366232
Birsk State Pedagogical Institute,Novomoskovsk,Russia,Administrative Assistant IV,Ameliorated stable internet solution,2019-09-21,2020-02-06,9137.24,RUB,2024-08-02 21:09:34.366232
Arellano University,Mantampay,Philippines,Database Administrator I,Open-source client-server model,2019-03-06,2019-06-04,3344.05,PHP,2024-08-02 21:09:34.366232
Universitas Widyatama,Kuripan,Indonesia,Automation Specialist IV,Robust web-enabled budgetary management,2016-10-07,2017-03-07,9816.72,IDR,2024-08-02 21:09:34.366232
Université Omar Bongo,Ndendé,Gabon,Paralegal,Multi-lateral neutral portal,2016-05-05,2016-10-10,2079.55,XAF,2024-08-02 21:09:34.366232
Huaihua Radio and Television University,Huzhou,China,Nuclear Power Engineer,Visionary leading edge data-warehouse,2017-06-05,2017-09-01,744.68,CNY,2024-08-02 21:09:34.366232
Wuhan University School of Medicine,Qiaotou,China,Marketing Assistant,Open-architected 24 hour strategy,2019-03-22,2019-09-26,8029.07,CNY,2024-08-02 21:09:34.366232
Unitomo Surabaya,Krajan Joho,Indonesia,Senior Cost Accountant,Organized fresh-thinking info-mediaries,2018-07-15,2018-12-03,1195.31,IDR,2024-08-02 21:09:34.366232
Kharkiv State Transport Technical University,Staryy Sambor,Ukraine,Geologist III,Function-based disintermediate superstructure,2017-08-27,2017-12-19,5647.67,UAH,2024-08-02 21:09:34.366232
Irkutsk State University,Syrostan,Russia,Senior Sales Associate,Profit-focused context-sensitive adapter,2017-09-11,2018-03-11,2686.12,RUB,2024-08-02 21:09:34.366232
Universidade Federal do Rio Grande do Sul,Cambé,Brazil,Quality Control Specialist,Ergonomic mobile throughput,2016-03-22,2016-09-11,6837.89,BRL,2024-08-02 21:09:34.366232
Sur University College,Yanqul,Oman,Budget/Accounting Analyst III,Synergistic actuating groupware,2019-02-01,2019-02-05,1859.42,OMR,2024-08-02 21:09:34.366232
University of San Carlos,San Teodoro,Philippines,Social Worker,Implemented clear-thinking structure,2019-05-14,2019-10-09,9393.94,PHP,2024-08-02 21:09:34.366232
Universidad Central Dominicana de Estudio Profesionales,Pedro Sánchez,Dominican Republic,Chemical Engineer,Open-architected stable intranet,2019-02-12,2019-09-07,3240.14,DOP,2024-08-02 21:09:34.366232
Université de Ouagadougou,Kombissiri,Burkina Faso,Programmer Analyst III,Enterprise-wide coherent attitude,2018-04-15,2018-05-03,3618.13,XOF,2024-08-02 21:09:34.366232
Mountain View College,Pulong Gubat,Philippines,Senior Sales Associate,Enhanced heuristic knowledge base,2016-03-31,2016-04-14,1770.24,PHP,2024-08-02 21:09:34.366232
Ecole Supérieure de Commerce de Le Havre/Caen,Guéret,France,Software Engineer III,Front-line clear-thinking software,2018-10-15,2019-04-07,8125.4,EUR,2024-08-02 21:09:34.366232
Huanghe Science & Technology University,Yuanhou,China,Operator,Object-based methodical artificial intelligence,2017-06-20,2017-11-02,8746.06,CNY,2024-08-02 21:09:34.366232
University of Guyana,Rosignol,Guyana,Biostatistician IV,Devolved non-volatile definition,2017-09-22,2017-09-25,5160.19,GYD,2024-08-02 21:09:34.366232
Université Thierno Amadou Diallo,Youkounkoun,Guinea,Pharmacist,Total empowering framework,2018-06-07,2018-07-07,6056.74,GNF,2024-08-02 21:09:34.366232
